Round   0  [  2 of Spades   ,  K of Diamonds ,  7 of Hearts   ,  2 of Hearts   ]
Round  75  [  9 of Clubs    ,  7 of Hearts   ,  A of Spades   ,  3 of Hearts   ]

Round  76  [  Q of Clubs    ,  J of Spades   ,  K of Spades   ,  J of Diamonds ]

Round  77  [  8 of Clubs    ,  9 of Spades   ,  8 of Hearts   ,  J of Hearts   ]

Round  78  [  3 of Spades   ,  9 of Spades   ,  J of Spades   ,  3 of Diamonds ]

Round  79  [  8 of Spades   ,  A of Clubs    ,  2 of Hearts   ,  J of Hearts   ]

Round  80  [  K of Diamonds ,  A of Spades   ,  8 of Hearts   ,  A of Hearts   ]

Round  81  [ 10 of Spades   ,  8 of Diamonds ,  4 of Clubs    ,  3 of Diamonds ]

Round  82  [  2 of Spades   ,  2 of Diamonds ,  A of Diamonds ,  Q of Spades   ]

Round  83  [  J of Hearts   ,  9 of Clubs    ,  9 of Hearts   ,  A of Spades   ]

Round  84  [  A of Hearts   ,  A of Spades   , 10 of Diamonds ,  5 of Diamonds ]

Round  85  [  8 of Spades   ,  A of Hearts   ,  3 of Clubs    ,  2 of Diamonds ]

Round  86  [  3 of Spades   ,  7 of Hearts   ,  J of Clubs    ,  3 of Hearts   ]

Round  87  [  J of Clubs    ,  9 of Spades   , 10 of Clubs    ,  8 of Diamonds ]

Round  88  [  K of Spades   ,  8 of Diamonds ,  8 of Clubs    ,  6 of Hearts   ]

Round  89  [  2 of Diamonds ,  Q of Diamonds ,  7 of Clubs    ,  7 of Spades   ]

Round  90  [  6 of Spades   , 10 of Diamonds , 10 of Hearts   ,  6 of Diamonds ]

Round  91  [  5 of Spades   ,  5 of Hearts   ,  9 of Clubs    , 10 of Spades   ]

Round  92  [  5 of Spades   ,  7 of Hearts   , 10 of Spades   ,  4 of Hearts   ]

Round  93  [  K of Clubs    , 10 of Hearts   ,  Q of Hearts   ,  5 of Diamonds ]

Round  94  [  2 of Hearts   ,  3 of Clubs    ,  9 of Diamonds ,  7 of Clubs    ]

Round  95  [  4 of Clubs    ,  9 of Diamonds ,  J of Diamonds ,  6 of Clubs    ]

Round  96  [  K of Clubs    ,  3 of Diamonds ,  8 of Spades   ,  3 of Clubs    ]

Round  97  [  9 of Diamonds , 10 of Diamonds ,  9 of Spades   ,  8 of Hearts   ]

Round  98  [ 10 of Hearts   ,  8 of Clubs    , 10 of Spades   ,  2 of Clubs    ]

Round  99  [  Q of Hearts   ,  K of Clubs    ,  4 of Diamonds ,  9 of Hearts   ]

Round 100  [  4 of Diamonds ,  5 of Spades   ,  8 of Spades   ,  6 of Clubs    ]

Round 101  [ 10 of Clubs    ,  6 of Spades   , 10 of Spades   ,  9 of Diamonds ]

Round 102  [ 10 of Diamonds ,  2 of Hearts   ,  Q of Hearts   ,  5 of Diamonds ]

Round 103  [  A of Clubs    ,  K of Diamonds ,  J of Clubs    ,  8 of Hearts   ]

Round 104  [  K of Clubs    ,  7 of Diamonds ,  7 of Hearts   ,  9 of Spades   ]

Round 105  [  7 of Spades   ,  5 of Spades   ,  7 of Clubs    ,  K of Spades   ]

Round 106  [  A of Spades   ,  6 of Clubs    ,  2 of Diamonds ,  5 of Clubs    ]

Round 107  [  J of Hearts   ,  7 of Spades   ,  5 of Spades   ,  9 of Hearts   ]

Round 108  [ 10 of Hearts   ,  5 of Clubs    ,  4 of Hearts   ,  Q of Clubs    ]

Round 109  [  K of Hearts   ,  A of Diamonds ,  9 of Clubs    ,  3 of Hearts   ]

Round 110  [  4 of Spades   ,  2 of Clubs    ,  7 of Diamonds ,  4 of Hearts   ]

Round 111  [  3 of Spades   ,  6 of Diamonds ,  Q of Spades   ,  3 of Clubs    ]

Round 112  [  6 of Clubs    ,  K of Hearts   ,  8 of Spades   ,  A of Clubs    ]

Round 113  [  7 of Diamonds ,  3 of Diamonds ,  A of Hearts   ,  A of Clubs    ]

Round 114  [  K of Hearts   , 10 of Diamonds ,  A of Spades   ,  Q of Spades   ]

Round 115  [  9 of Spades   ,  8 of Clubs    ,  6 of Spades   ,  7 of Spades   ]

Round 116  [  9 of Clubs    ,  K of Hearts   ,  4 of Diamonds ,  2 of Spades   ]

Round 117  [  A of Clubs    ,  4 of Diamonds ,  4 of Spades   ,  2 of Diamonds ]

Round 118  [ 10 of Hearts   ,  5 of Hearts   ,  K of Spades   ,  5 of Diamonds ]

Round 119  [  2 of Hearts   ,  2 of Diamonds ,  J of Hearts   ,  Q of Hearts   ]

Round 120  [  3 of Spades   ,  3 of Diamonds ,  7 of Spades   ,  Q of Spades   ]

Round 121  [  J of Hearts   ,  Q of Clubs    ,  9 of Diamonds ,  J of Clubs    ]

Round 122  [  4 of Hearts   ,  8 of Diamonds ,  7 of Spades   ,  9 of Diamonds ]

Round 123  [  J of Spades   ,  K of Hearts   ,  5 of Diamonds ,  6 of Spades   ]

Round 124  [  K of Hearts   ,  4 of Diamonds ,  Q of Spades   ,  9 of Clubs    ]

Round 125  [  Q of Clubs    ,  A of Spades   ,  6 of Spades   ,  J of Hearts   ]

Round 126  [  6 of Spades   ,  J of Clubs    ,  K of Diamonds ,  5 of Spades   ]

Round 127  [  9 of Spades   ,  K of Spades   ,  5 of Clubs    ,  4 of Hearts   ]

Round 128  [  5 of Clubs    ,  5 of Diamonds ,  7 of Diamonds ,  4 of Hearts   ]

Round 129  [  8 of Clubs    ,  9 of Spades   ,  2 of Spades   ,  K of Hearts   ]

Round 130  [  9 of Diamonds ,  Q of Hearts   ,  K of Diamonds ,  J of Spades   ]

Round 131  [  2 of Spades   ,  7 of Clubs    ,  Q of Diamonds ,  5 of Clubs    ]

Round 132  [  Q of Hearts   ,  A of Diamonds ,  K of Spades   ,  Q of Diamonds ]

Round 133  [  J of Hearts   ,  2 of Spades   ,  4 of Diamonds ,  2 of Clubs    ]

Round 134  [  2 of Hearts   ,  4 of Diamonds ,  5 of Clubs    , 10 of Hearts   ]

Round 135  [  7 of Spades   ,  3 of Spades   ,  7 of Clubs    ,  A of Diamonds ]

Round 136  [ 10 of Clubs    ,  8 of Hearts   ,  9 of Clubs    ,  K of Spades   ]

Round 137  [  9 of Diamonds ,  4 of Hearts   ,  2 of Diamonds ,  9 of Clubs    ]

Round 138  [  2 of Spades   ,  7 of Diamonds ,  5 of Hearts   ,  8 of Spades   ]

Round 139  [  9 of Clubs    ,  A of Diamonds ,  4 of Clubs    ,  4 of Diamonds ]

Round 140  [  3 of Spades   ,  5 of Clubs    ,  4 of Hearts   ,  2 of Hearts   ]

Round 141  [  5 of Hearts   ,  7 of Diamonds ,  3 of Clubs    ,  J of Diamonds ]

Round 142  [  K of Diamonds ,  9 of Spades   ,  9 of Diamonds ,  5 of Hearts   ]

Round 143  [  2 of Diamonds ,  4 of Hearts   ,  J of Spades   ,  7 of Hearts   ]

Round 144  [  7 of Clubs    ,  3 of Spades   ,  J of Clubs    ,  A of Hearts   ]

Round 145  [  K of Spades   ,  5 of Spades   ,  J of Spades   ,  3 of Clubs    ]

Round 146  [  2 of Diamonds ,  7 of Clubs    ,  6 of Hearts   ,  8 of Clubs    ]

Round 147  [  5 of Diamonds ,  2 of Spades   ,  K of Spades   ,  7 of Spades   ]

Round 148  [  A of Diamonds ,  2 of Hearts   ,  J of Spades   ,  6 of Spades   ]

Round 149  [  8 of Clubs    ,  6 of Diamonds ,  2 of Clubs    ,  5 of Clubs    ]

Round 150  [  2 of Clubs    ,  4 of Hearts   ,  Q of Spades   , 10 of Spades   ]

Round 151  [  K of Diamonds ,  5 of Clubs    ,  Q of Diamonds ,  5 of Spades   ]

Round 152  [  4 of Clubs    ,  Q of Diamonds ,  7 of Clubs    ,  9 of Diamonds ]

Round 153  [ 10 of Clubs    ,  K of Spades   ,  J of Diamonds ,  3 of Diamonds ]

Round 154  [  8 of Hearts   ,  J of Spades   ,  4 of Diamonds ,  8 of Spades   ]

Round 155  [  5 of Clubs    ,  7 of Diamonds ,  5 of Hearts   ,  6 of Diamonds ]

Round 156  [  9 of Hearts   ,  K of Diamonds ,  A of Hearts   ,  6 of Hearts   ]

Round 157  [  K of Hearts   ,  5 of Spades   ,  9 of Diamonds ,  6 of Clubs    ]

Round 158  [  5 of Clubs    ,  3 of Clubs    ,  5 of Diamonds ,  2 of Diamonds ]

Round 159  [  5 of Spades   ,  7 of Hearts   ,  J of Diamonds ,  9 of Hearts   ]

Round 160  [  9 of Spades   ,  J of Diamonds ,  K of Spades   , 10 of Clubs    ]

Round 161  [  6 of Hearts   ,  A of Diamonds ,  8 of Diamonds ,  8 of Spades   ]

Round 162  [  5 of Hearts   ,  2 of Clubs    ,  3 of Diamonds ,  9 of Hearts   ]

Round 163  [  Q of Spades   ,  3 of Diamonds ,  6 of Clubs    ,  9 of Clubs    ]

Round 164  [  K of Hearts   ,  6 of Spades   ,  Q of Spades   ,  3 of Diamonds ]

Round 165  [  7 of Spades   , 10 of Hearts   ,  5 of Hearts   ,  7 of Diamonds ]

Round 166  [ 10 of Clubs    ,  J of Diamonds ,  6 of Clubs    ,  7 of Hearts   ]

Round 167  [  A of Diamonds ,  3 of Diamonds ,  4 of Diamonds ,  J of Hearts   ]

Round 168  [  2 of Hearts   ,  2 of Spades   ,  8 of Hearts   ,  3 of Hearts   ]

Round 169  [  8 of Spades   ,  9 of Clubs    ,  7 of Hearts   , 10 of Diamonds ]

Round 170  [ 10 of Spades   ,  9 of Clubs    ,  5 of Diamonds ,  A of Clubs    ]

Round 171  [  J of Spades   ,  5 of Clubs    ,  Q of Clubs    ,  Q of Spades   ]

Round 172  [  8 of Clubs    , 10 of Hearts   ,  Q of Hearts   , 10 of Clubs    ]

Round 173  [  Q of Spades   ,  4 of Diamonds , 10 of Diamonds ,  6 of Spades   ]

Round 174  [ 10 of Spades   ,  7 of Diamonds , 10 of Hearts   ,  A of Diamonds ]

Round 175  [  7 of Clubs    ,  6 of Hearts   ,  6 of Diamonds ,  4 of Clubs    ]

Round 176  [  8 of Spades   ,  7 of Hearts   ,  6 of Spades   ,  K of Diamonds ]

Round 177  [  8 of Diamonds ,  2 of Hearts   ,  Q of Clubs    ,  5 of Spades   ]

Round 178  [  8 of Diamonds ,  5 of Hearts   , 10 of Hearts   ,  A of Spades   ]

Round 179  [  2 of Diamonds ,  Q of Diamonds ,  5 of Hearts   , 10 of Clubs    ]

Round 180  [  5 of Clubs    ,  4 of Spades   ,  9 of Diamonds ,  7 of Spades   ]

Round 181  [  Q of Clubs    ,  K of Hearts   ,  A of Diamonds ,  8 of Hearts   ]

Round 182  [  8 of Spades   ,  7 of Clubs    ,  7 of Hearts   ,  3 of Hearts   ]

Round 183  [  4 of Diamonds ,  A of Spades   ,  A of Hearts   ,  7 of Hearts   ]

Round 184  [  8 of Hearts   ,  K of Diamonds ,  6 of Diamonds ,  3 of Hearts   ]

Round 185  [  Q of Clubs    ,  8 of Spades   ,  6 of Diamonds ,  J of Clubs    ]

Round 186  [  7 of Clubs    ,  7 of Diamonds ,  3 of Diamonds ,  5 of Diamonds ]

Round 187  [  3 of Spades   ,  5 of Diamonds ,  K of Spades   ,  J of Hearts   ]

Round 188  [  6 of Diamonds ,  K of Clubs    ,  5 of Clubs    ,  5 of Diamonds ]

Round 189  [  6 of Spades   ,  K of Hearts   ,  K of Clubs    , 10 of Hearts   ]

Round 190  [  J of Hearts   ,  K of Hearts   ,  6 of Spades   ,  A of Hearts   ]

Round 191  [  K of Spades   ,  2 of Clubs    ,  5 of Clubs    ,  K of Diamonds ]

Round 192  [  8 of Clubs    ,  J of Diamonds ,  4 of Diamonds ,  A of Clubs    ]

Round 193  [  Q of Clubs    ,  2 of Clubs    ,  K of Diamonds ,  7 of Diamonds ]

Round 194  [ 10 of Diamonds ,  A of Spades   ,  6 of Diamonds ,  8 of Spades   ]

Round 195  [  9 of Diamonds ,  4 of Spades   ,  7 of Diamonds ,  Q of Hearts   ]

Round 196  [  2 of Diamonds ,  5 of Clubs    ,  9 of Clubs    ,  Q of Spades   ]

Round 197  [ 10 of Spades   ,  8 of Clubs    ,  Q of Hearts   ,  4 of Clubs    ]

Round 198  [  K of Hearts   ,  Q of Diamonds ,  6 of Hearts   ,  3 of Spades   ]

Round 199  [  3 of Spades   ,  9 of Diamonds ,  3 of Diamonds ,  8 of Hearts   ]

Round 200  [  8 of Spades   ,  7 of Diamonds ,  A of Spades   ,  Q of Hearts   ]

Round 201  [  5 of Hearts   ,  2 of Hearts   ,  7 of Clubs    ,  4 of Clubs    ]

Round 202  [  2 of Spades   ,  9 of Hearts   ,  8 of Hearts   ,  3 of Clubs    ]

Round 203  [  3 of Clubs    ,  5 of Clubs    ,  3 of Spades   ,  8 of Spades   ]

Round 204  [  6 of Hearts   ,  A of Spades   ,  A of Hearts   ,  4 of Spades   ]

Round 205  [  8 of Diamonds ,  3 of Diamonds ,  3 of Clubs    ,  A of Clubs    ]

Round 206  [  4 of Clubs    ,  3 of Spades   ,  K of Hearts   ,  A of Clubs    ]

Round 207  [  J of Hearts   ,  7 of Spades   ,  5 of Clubs    ,  K of Clubs    ]

Round 208  [  6 of Diamonds ,  9 of Clubs    ,  7 of Diamonds ,  A of Diamonds ]

Round 209  [  6 of Spades   ,  5 of Clubs    , 10 of Clubs    ,  8 of Hearts   ]

Round 210  [  4 of Spades   ,  8 of Spades   ,  6 of Spades   ,  2 of Diamonds ]

Round 211  [ 10 of Diamonds ,  9 of Spades   ,  J of Hearts   ,  2 of Clubs    ]

Round 212  [  6 of Hearts   ,  9 of Clubs    ,  9 of Hearts   , 10 of Hearts   ]

Round 213  [  J of Clubs    ,  4 of Spades   ,  6 of Hearts   ,  K of Spades   ]

Round 214  [  Q of Diamonds ,  3 of Diamonds ,  J of Clubs    ,  7 of Diamonds ]

Round 215  [  J of Clubs    ,  6 of Clubs    ,  4 of Spades   ,  5 of Spades   ]

Round 216  [  7 of Spades   ,  7 of Clubs    ,  A of Hearts   ,  J of Spades   ]

Round 217  [  A of Hearts   ,  2 of Clubs    ,  7 of Clubs    ,  8 of Diamonds ]

Round 218  [  Q of Clubs    ,  A of Hearts   , 10 of Clubs    ,  A of Spades   ]

Round 219  [  8 of Clubs    ,  3 of Diamonds ,  Q of Hearts   ,  J of Hearts   ]

Round 220  [  Q of Clubs    ,  9 of Hearts   ,  2 of Spades   ,  2 of Clubs    ]

Round 221  [  9 of Hearts   ,  2 of Clubs    ,  7 of Diamonds ,  6 of Spades   ]

Round 222  [  6 of Diamonds ,  A of Hearts   ,  K of Hearts   ,  9 of Spades   ]

Round 223  [  8 of Diamonds ,  J of Clubs    ,  9 of Diamonds ,  6 of Hearts   ]

Round 224  [  K of Diamonds , 10 of Hearts   ,  8 of Hearts   ,  K of Clubs    ]

Round 225  [ 10 of Hearts   ,  K of Hearts   ,  2 of Diamonds ,  9 of Spades   ]

Round 226  [  9 of Clubs    ,  J of Clubs    ,  3 of Hearts   ,  9 of Diamonds ]

Round 227  [  Q of Clubs    ,  9 of Spades   ,  Q of Spades   ,  5 of Diamonds ]

Round 228  [  8 of Diamonds ,  A of Spades   ,  K of Spades   ,  Q of Spades   ]

Round 229  [  A of Diamonds ,  3 of Diamonds ,  9 of Spades   ,  6 of Hearts   ]

Round 230  [  4 of Diamonds ,  7 of Clubs    ,  3 of Clubs    , 10 of Diamonds ]

Round 231  [  3 of Diamonds ,  9 of Hearts   ,  2 of Clubs    ,  5 of Clubs    ]

Round 232  [  7 of Hearts   ,  5 of Clubs    ,  3 of Diamonds ,  J of Diamonds ]

Round 233  [  A of Spades   ,  A of Diamonds , 10 of Hearts   ,  8 of Hearts   ]

Round 234  [  A of Spades   ,  A of Diamonds ,  5 of Diamonds ,  3 of Diamonds ]

Round 235  [  4 of Diamonds ,  J of Hearts   ,  A of Spades   ,  4 of Hearts   ]

Round 236  [  K of Spades   ,  5 of Diamonds ,  4 of Clubs    ,  5 of Spades   ]

Round 237  [  8 of Spades   ,  8 of Diamonds , 10 of Hearts   ,  6 of Spades   ]

Round 238  [  5 of Diamonds ,  7 of Hearts   ,  9 of Clubs    ,  8 of Spades   ]

Round 239  [ 10 of Clubs    ,  5 of Diamonds ,  J of Clubs    ,  9 of Clubs    ]

Round 240  [  7 of Hearts   ,  6 of Spades   ,  9 of Clubs    ,  8 of Spades   ]

Round 241  [  7 of Diamonds ,  7 of Spades   ,  9 of Spades   ,  2 of Diamonds ]

Round 242  [  Q of Hearts   ,  9 of Spades   ,  K of Diamonds ,  4 of Hearts   ]

Round 243  [  5 of Spades   ,  A of Clubs    ,  2 of Clubs    ,  6 of Spades   ]

Round 244  [  3 of Clubs    ,  8 of Spades   , 10 of Spades   ,  2 of Hearts   ]

Round 245  [  4 of Hearts   ,  K of Clubs    ,  6 of Clubs    ,  4 of Spades   ]

Round 246  [  Q of Diamonds ,  6 of Diamonds ,  3 of Diamonds ,  J of Hearts   ]

Round 247  [  6 of Spades   ,  4 of Diamonds ,  8 of Diamonds ,  4 of Clubs    ]

Round 248  [  A of Clubs    ,  2 of Diamonds ,  2 of Hearts   ,  4 of Spades   ]

Round 249  [  5 of Hearts   ,  6 of Spades   ,  6 of Hearts   ,  J of Diamonds ]

Round 250  [  Q of Clubs    ,  J of Clubs    ,  8 of Hearts   , 10 of Clubs    ]

Round 251  [  J of Clubs    ,  9 of Spades   ,  4 of Diamonds ,  7 of Hearts   ]

Round 252  [  Q of Hearts   ,  7 of Diamonds ,  3 of Clubs    ,  4 of Clubs    ]

Round 253  [  3 of Diamonds , 10 of Clubs    ,  Q of Spades   ,  9 of Diamonds ]

Round 254  [  2 of Hearts   ,  3 of Hearts   ,  9 of Hearts   ,  3 of Clubs    ]

Round 255  [  9 of Spades   ,  8 of Diamonds ,  6 of Hearts   ,  3 of Diamonds ]

Round 256  [  3 of Clubs    ,  3 of Spades   ,  9 of Clubs    ,  8 of Hearts   ]

Round 257  [  3 of Hearts   ,  Q of Hearts   ,  5 of Hearts   ,  8 of Diamonds ]

Round 258  [  2 of Hearts   ,  8 of Spades   ,  3 of Diamonds ,  7 of Clubs    ]

Round 259  [  7 of Diamonds , 10 of Diamonds ,  3 of Spades   ,  8 of Spades   ]

Round 260  [  A of Hearts   ,  8 of Clubs    ,  Q of Diamonds ,  K of Clubs    ]

Round 261  [  Q of Hearts   ,  K of Diamonds ,  3 of Clubs    ,  5 of Spades   ]

Round 262  [  8 of Hearts   ,  A of Diamonds ,  5 of Diamonds ,  J of Spades   ]

Round 263  [  A of Spades   ,  3 of Clubs    ,  5 of Clubs    ,  9 of Hearts   ]

Round 264  [  9 of Spades   ,  7 of Clubs    ,  9 of Clubs    ,  J of Spades   ]

Round 265  [  J of Clubs    ,  3 of Diamonds ,  8 of Clubs    ,  6 of Hearts   ]

Round 266  [  8 of Diamonds ,  5 of Spades   , 10 of Clubs    ,  Q of Spades   ]

Round 267  [  5 of Hearts   ,  6 of Spades   ,  9 of Spades   , 10 of Spades   ]

Round 268  [  4 of Clubs    ,  K of Clubs    ,  A of Spades   ,  8 of Hearts   ]

Round 269  [  A of Hearts   ,  A of Diamonds ,  9 of Spades   ,  3 of Clubs    ]

Round 270  [ 10 of Hearts   ,  A of Diamonds ,  8 of Spades   ,  2 of Clubs    ]

Round 271  [ 10 of Clubs    ,  K of Diamonds ,  8 of Clubs    ,  5 of Spades   ]

Round 272  [  J of Hearts   ,  4 of Hearts   ,  A of Diamonds ,  5 of Spades   ]

Round 273  [  9 of Spades   ,  J of Hearts   ,  8 of Spades   ,  3 of Clubs    ]

Round 274  [  4 of Clubs    ,  3 of Diamonds ,  5 of Hearts   ,  5 of Spades   ]

Round 275  [  9 of Clubs    ,  A of Diamonds ,  6 of Diamonds ,  2 of Clubs    ]

Round 276  [  3 of Hearts   ,  8 of Diamonds ,  6 of Hearts   ,  7 of Hearts   ]

Round 277  [  2 of Clubs    ,  6 of Hearts   ,  4 of Diamonds ,  6 of Clubs    ]

Round 278  [  7 of Spades   ,  4 of Hearts   ,  4 of Diamonds ,  8 of Spades   ]

