Round   0  [  9 of Hearts   ,  2 of Clubs    ,  5 of Clubs    ,  8 of Spades   ]
Round  55  [  Q of Hearts   ,  A of Clubs    ,  6 of Hearts   ,  9 of Hearts   ]

Round  56  [  3 of Spades   ,  Q of Hearts   ,  3 of Hearts   ,  5 of Hearts   ]

Round  57  [  2 of Hearts   ,  5 of Hearts   ,  5 of Clubs    ,  3 of Spades   ]

Round  58  [  A of Hearts   ,  8 of Clubs    ,  7 of Diamonds ,  Q of Spades   ]

Round  59  [  6 of Spades   ,  7 of Spades   ,  8 of Diamonds ,  A of Diamonds ]

Round  60  [  Q of Spades   , 10 of Hearts   ,  6 of Spades   ,  3 of Spades   ]

Round  61  [  J of Spades   ,  4 of Diamonds ,  A of Spades   ,  4 of Spades   ]

Round  62  [  6 of Spades   ,  7 of Diamonds ,  8 of Spades   ,  2 of Hearts   ]

Round  63  [  9 of Diamonds , 10 of Spades   ,  8 of Spades   ,  Q of Clubs    ]

Round  64  [ 10 of Clubs    ,  2 of Clubs    ,  6 of Diamonds , 10 of Diamonds ]

Round  65  [ 10 of Hearts   ,  2 of Clubs    ,  7 of Spades   ,  K of Clubs    ]

Round  66  [  2 of Hearts   ,  9 of Clubs    , 10 of Clubs    ,  A of Clubs    ]

Round  67  [  2 of Hearts   ,  4 of Hearts   ,  3 of Hearts   ,  9 of Diamonds ]

Round  68  [  7 of Hearts   ,  9 of Hearts   ,  4 of Clubs    ,  5 of Hearts   ]

Round  69  [  J of Spades   ,  6 of Spades   ,  Q of Diamonds ,  3 of Spades   ]

Round  70  [  5 of Hearts   ,  5 of Diamonds ,  3 of Hearts   , 10 of Spades   ]

Round  71  [  3 of Spades   ,  8 of Spades   ,  4 of Diamonds ,  5 of Hearts   ]

Round  72  [  8 of Diamonds ,  A of Clubs    ,  K of Clubs    ,  2 of Hearts   ]

Round  73  [  Q of Spades   ,  K of Hearts   ,  7 of Clubs    ,  2 of Hearts   ]

Round  74  [  5 of Hearts   ,  K of Hearts   ,  J of Diamonds ,  8 of Spades   ]

Round  75  [  6 of Diamonds ,  2 of Clubs    , 10 of Hearts   ,  7 of Spades   ]

Round  76  [  A of Hearts   ,  5 of Clubs    ,  7 of Clubs    ,  Q of Hearts   ]

Round  77  [  2 of Clubs    ,  8 of Clubs    , 10 of Diamonds ,  4 of Diamonds ]

Round  78  [  5 of Hearts   ,  4 of Clubs    ,  3 of Clubs    ,  A of Hearts   ]

Round  79  [  4 of Clubs    ,  5 of Hearts   ,  Q of Hearts   ,  K of Hearts   ]

Round  80  [  K of Clubs    ,  4 of Hearts   ,  6 of Hearts   ,  3 of Hearts   ]

Round  81  [  3 of Clubs    ,  Q of Hearts   ,  7 of Hearts   ,  A of Clubs    ]

Round  82  [  3 of Spades   ,  A of Spades   ,  K of Spades   ,  9 of Spades   ]

